Red Manual
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.cdmx.gob.mx
timeStamp:,1989/01/08 al 2017/10/28		
average_interval: 001d
Date,cve_station,cve_parameter,value,unit
14/04/1989,PED,PbPM10,0.48,2
14/04/1989,TLA,PbPM10,0.59,2
14/04/1989,XAL,PbPM10,1.93,2
08/05/1989,CES,PbPM10,1.03,2
08/05/1989,MER,PbPM10,0.83,2
08/05/1989,PED,PbPM10,0.63,2
08/05/1989,XAL,PbPM10,2.11,2
20/05/1989,CES,PbPM10,0.83,2
20/05/1989,MER,PbPM10,0.9,2
20/05/1989,PED,PbPM10,0.39,2
20/05/1989,TLA,PbPM10,0.55,2
20/05/1989,XAL,PbPM10,1.31,2
01/06/1989,CES,PbPM10,0.89,2
01/06/1989,MER,PbPM10,0.98,2
01/06/1989,PED,PbPM10,0.71,2
01/06/1989,TLA,PbPM10,0.77,2
01/06/1989,XAL,PbPM10,1.29,2
13/06/1989,CES,PbPM10,0.72,2
13/06/1989,PED,PbPM10,0.37,2
13/06/1989,TLA,PbPM10,0.55,2
01/07/1989,CES,PbPM10,0.98,2
01/07/1989,MER,PbPM10,0.7,2
01/07/1989,PED,PbPM10,0.58,2
01/07/1989,TLA,PbPM10,1.03,2
01/07/1989,XAL,PbPM10,0.68,2
07/07/1989,MER,PbPM10,0.97,2
07/07/1989,PED,PbPM10,0.46,2
06/08/1989,CES,PbPM10,0.76,2
06/08/1989,MER,PbPM10,0.83,2
06/08/1989,PED,PbPM10,0.52,2
06/08/1989,TLA,PbPM10,0.78,2
06/08/1989,XAL,PbPM10,0.63,2
18/08/1989,MER,PbPM10,1.22,2
18/08/1989,PED,PbPM10,0.6,2
18/08/1989,TLA,PbPM10,0.89,2
18/08/1989,XAL,PbPM10,1.95,2
05/10/1989,CES,PbPM10,0.54,2
05/10/1989,MER,PbPM10,1.02,2
05/10/1989,PED,PbPM10,0.49,2
05/10/1989,TLA,PbPM10,1.11,2
05/10/1989,XAL,PbPM10,1.3,2
22/11/1989,CES,PbPM10,0.72,2
22/11/1989,MER,PbPM10,1.04,2
22/11/1989,PED,PbPM10,0.61,2
22/11/1989,TLA,PbPM10,0.88,2
22/11/1989,XAL,PbPM10,1.33,2
04/12/1989,CES,PbPM10,0.79,2
04/12/1989,TLA,PbPM10,1.05,2
04/12/1989,XAL,PbPM10,1.42,2
16/12/1989,CES,PbPM10,1.04,2
16/12/1989,MER,PbPM10,2.12,2
16/12/1989,TLA,PbPM10,1.88,2
16/12/1989,XAL,PbPM10,3.73,2
22/12/1989,CES,PbPM10,0.78,2
22/12/1989,MER,PbPM10,1.29,2
22/12/1989,TLA,PbPM10,1.41,2
22/12/1989,XAL,PbPM10,4.06,2
28/12/1989,CES,PbPM10,0.86,2
28/12/1989,MER,PbPM10,1.57,2
28/12/1989,TLA,PbPM10,1.46,2
28/12/1989,XAL,PbPM10,1.92,2
03/01/1990,CES,PbPST,1.16,2
03/01/1990,PED,PbPST,1.262,2
03/01/1990,XAL,PbPST,2.584,2
03/01/1990,MCM,PbPST,1.241,2
03/01/1990,FAN,PbPST,1.397,2
03/01/1990,TEC,PbPST,1.417,2
09/01/1990,CES,PbPST,0.824,2
09/01/1990,MER,PbPST,1.373,2
09/01/1990,PED,PbPST,0.836,2
09/01/1990,TLA,PbPST,0.766,2
09/01/1990,XAL,PbPST,2.288,2
09/01/1990,MCM,PbPST,1.097,2
09/01/1990,FAN,PbPST,0.798,2
09/01/1990,TEC,PbPST,1.421,2
09/01/1990,CFE,PbPST,0.665,2
15/01/1990,CES,PbPST,0.995,2
15/01/1990,MER,PbPST,1.244,2
15/01/1990,PED,PbPST,0.929,2
15/01/1990,TLA,PbPST,1.371,2
15/01/1990,XAL,PbPST,2.023,2
15/01/1990,MCM,PbPST,1.135,2
15/01/1990,FAN,PbPST,1.137,2
15/01/1990,TEC,PbPST,1.712,2
21/01/1990,CES,PbPST,0.859,2
21/01/1990,MER,PbPST,1.174,2
21/01/1990,PED,PbPST,0.692,2
21/01/1990,TLA,PbPST,0.826,2
21/01/1990,XAL,PbPST,2.004,2
21/01/1990,MCM,PbPST,1.126,2
21/01/1990,FAN,PbPST,0.923,2
21/01/1990,TEC,PbPST,0.955,2
21/01/1990,CFE,PbPST,0.696,2
27/01/1990,CES,PbPST,0.915,2
27/01/1990,MER,PbPST,1.625,2
27/01/1990,PED,PbPST,0.991,2
27/01/1990,XAL,PbPST,2.84,2
27/01/1990,MCM,PbPST,1.726,2
27/01/1990,FAN,PbPST,1.612,2
27/01/1990,TEC,PbPST,1.847,2
27/01/1990,CFE,PbPST,1.455,2
02/02/1990,CES,PbPST,1.132,2
02/02/1990,MER,PbPST,1.375,2
02/02/1990,PED,PbPST,1.136,2
02/02/1990,TLA,PbPST,2.059,2
02/02/1990,XAL,PbPST,4.679,2
02/02/1990,MCM,PbPST,1.159,2
02/02/1990,FAN,PbPST,1.457,2
02/02/1990,TEC,PbPST,2.857,2
02/02/1990,CFE,PbPST,1.32,2
08/02/1990,CES,PbPST,1.823,2
08/02/1990,PED,PbPST,1.219,2
08/02/1990,TLA,PbPST,1.897,2
08/02/1990,XAL,PbPST,2.682,2
08/02/1990,MCM,PbPST,1.419,2
08/02/1990,FAN,PbPST,1.461,2
08/02/1990,TEC,PbPST,2.316,2
08/02/1990,CFE,PbPST,1.148,2
14/02/1990,CES,PbPST,0.805,2
14/02/1990,MER,PbPST,1.064,2
14/02/1990,PED,PbPST,0.582,2
14/02/1990,TLA,PbPST,0.683,2
14/02/1990,XAL,PbPST,3.631,2
